FIPS,county_name,wtd_den,pop_den,population
44003,"Kent County, Rhode Island",2993,978,164886
51680,"Lynchburg city, Virginia",2992,1603,78755
49005,"Cache County, Utah",2980,102,118824
13051,"Chatham County, Georgia",2975,659,282613
18141,"St. Joseph County, Indiana",2968,585,267696
6039,"Madera County, California",2964,72,153366
26073,"Isabella County, Michigan",2963,123,70574
48245,"Jefferson County, Texas",2958,289,252993
54011,"Cabell County, West Virginia",2957,344,96623
41029,"Jackson County, Oregon",2957,76,210916
20169,"Saline County, Kansas",2953,77,55547
31079,"Hall County, Nebraska",2942,112,61105
12021,"Collier County, Florida",2933,174,348236
27013,"Blue Earth County, Minnesota",2931,88,65524
34027,"Morris County, New Jersey",2929,1082,498215
12073,"Leon County, Florida",2921,427,284788
17143,"Peoria County, Illinois",2914,302,186818
34005,"Burlington County, New Jersey",2905,564,450236
18003,"Allen County, Indiana",2901,556,365565
25015,"Hampshire County, Massachusetts",2898,305,161035
72011,"Añasco Municipio, Puerto Rico",2897,719,28250
19013,"Black Hawk County, Iowa",2894,235,132821
42013,"Blair County, Pennsylvania",2892,239,125917
19155,"Pottawattamie County, Iowa",2884,98,93198
36063,"Niagara County, New York",2879,408,213374
4021,"Pinal County, Arizona",2878,74,397604
48117,"Deaf Smith County, Texas",2867,13,19039
37183,"Wake County, North Carolina",2860,1196,998576
24021,"Frederick County, Maryland",2859,369,243465
48215,"Hidalgo County, Texas",2852,527,828334
30111,"Yellowstone County, Montana",2837,59,155344
48323,"Maverick County, Texas",2832,44,56830
26077,"Kalamazoo County, Michigan",2821,460,258605
72045,"Comerío Municipio, Puerto Rico",2815,710,20153
39085,"Lake County, Ohio",2809,1000,229266
53015,"Cowlitz County, Washington",2807,90,102854
30093,"Silver Bow County, Montana",2801,48,34560
42133,"York County, Pennsylvania",2800,487,440604
4005,"Coconino County, Arizona",2793,7,138064
20055,"Finney County, Kansas",2793,28,36983
17037,"DeKalb County, Illinois",2792,165,104458
16019,"Bonneville County, Idaho",2789,58,108989
44005,"Newport County, Rhode Island",2788,807,82714
48027,"Bell County, Texas",2777,315,330859
42063,"Indiana County, Pennsylvania",2776,106,87491
53071,"Walla Walla County, Washington",2774,47,59809
45019,"Charleston County, South Carolina",2768,415,380673
29001,"Adair County, Missouri",2764,45,25547
37063,"Durham County, North Carolina",2762,1029,294618
29021,"Buchanan County, Missouri",2733,219,89415
13215,"Muscogee County, Georgia",2729,926,200303
25023,"Plymouth County, Massachusetts",2723,769,506657
42107,"Schuylkill County, Pennsylvania",2721,187,145503
37135,"Orange County, North Carolina",2721,352,139807
48441,"Taylor County, Texas",2720,148,135234
19061,"Dubuque County, Iowa",2719,158,96359
36023,"Cortland County, New York",2718,98,48713
27145,"Stearns County, Minnesota",2714,114,153661
38101,"Ward County, North Dakota",2713,34,68954
48469,"Victoria County, Texas",2696,103,90989
55009,"Brown County, Wisconsin",2694,484,256621
30013,"Cascade County, Montana",2693,30,82049
